geometry,latent_factor,L_v_J_kg,rho_d_factor,rho_d_initial_kg_m3,jacobian_relative_error,event_h,event_reached,T_center_3h,T_surface_3h,T_mean_3h,C_center_3h,C_surface_3h,C_mean_3h,min_surface_T_C,time_min_surface_T_h,peak_latent_flux_W_m2,min_net_heat_flux_W_m2,max_heat_rate_balance_error,moisture_balance_error
fixed,0.0,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,57.5865985940301,True,49.8270327645722,49.8708667246542,49.84974078992746,1.7655436092096926,1.0078501825687132,1.3823952764151406,28.0,0.0,0.0,-5.329070518200751e-13,2.220446049250313e-16,4.440892098500626e-15
fixed,0.25,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,58.30102261161343,True,44.428020001620695,44.656100561958105,44.542907192985886,1.9024008534096928,0.9812858818739465,1.4338261765034839,24.74253689753612,0.1457525565290336,334.0601601802817,-334.0601601802817,4.440892098500626e-16,3.9968028886505635e-15
fixed,0.5,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,59.050470373658655,True,39.46618634855283,39.83613507292116,39.65204217129817,2.039515538595682,0.950556371085341,1.4856892308152694,20.281438884510774,0.14762617593414662,668.1203203605634,-668.1203203605634,2.7755575615628914e-17,4.884981308350689e-15
fixed,0.75,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,59.82487550998774,True,34.94385427631976,35.42346250983116,35.18450913451874,2.1660337853680667,0.9179363321562038,1.5362112553631466,15.512849679869404,0.2991243775499387,1002.1804805408451,-1002.1804805408451,8.881784197001252e-16,5.773159728050814e-15
fixed,1.0,2400000.0,1.0,275.0422535211268,3.256811087257756e-16,60.61584398664882,True,30.830533441938687,31.39599760072996,31.113960606370615,2.274277120277805,0.8851887169674987,1.5842998056259365,10.795508137974092,0.3030792199332441,1336.2406407211267,-1336.2406407211267,5.551115123125783e-17,3.552713678800501e-15
moving,0.0,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,51.186637661866364,True,49.80146767902335,49.868134810978354,49.83583557020286,2.4538309606349475,0.6833738614802501,1.6429044782086744,28.0,0.0,0.0,-3.552713678800501e-13,1.1102230246251565e-16,2.6645352591003757e-15
moving,0.25,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,52.51471998193838,True,44.30328023621711,44.48285897235345,44.393240381531484,2.5047051591696023,0.6413100898157169,1.700912393500849,25.234879072146434,0.13128679995484596,338.5421225915493,-338.5421225915493,1.1102230246251565e-16,3.552713678800501e-15
moving,0.5,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,53.8622493421254,True,39.52138848408553,39.784280758180515,39.65228824769029,2.5304268113554094,0.604546358451599,1.7525145653203644,21.364372369428423,0.1346556233553135,677.0842451830986,-677.0842451830986,2.220446049250313e-16,4.440892098500626e-15
moving,0.75,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,55.22200547117006,True,35.31879031087068,35.642914326361456,35.47971568464097,2.5421891864615023,0.5723112579871229,1.7983770741965115,17.727994728012998,0.13805501367792514,1015.6263677746477,-1015.6263677746477,2.220446049250313e-16,3.1086244689504383e-15
moving,1.0,2400000.0,1.0,278.7323943661972,1.68761510762991e-16,56.58863922356144,True,31.588034709001896,31.95718080819602,31.77099502936981,2.5471053072077527,0.5438795421864708,1.8392216871296279,14.332883192054865,0.14147159805890358,1354.1684903661971,-1354.1684903661971,2.220446049250313e-16,8.881784197001252e-15
