question,check,metric,value,unit,comparison,interpretation
问题1,空间加密,全场温度最大差,4.427482025448626e-08,°C,N=3200→6400,网格差已远小于温度结果的有效显示尺度
问题1,空间加密,全场含水率最大差,1.169100315223659e-05,kg/kg,N=3200→6400,表面附近梯度是主要空间离散误差来源
问题1,时间收紧,全场温度最大差,1.0952341256142972e-08,°C,容差各收紧10倍,时间积分误差很小
问题1,时间收紧,全场含水率最大差,4.3224770429617365e-09,kg/kg,容差各收紧10倍,时间积分误差很小
问题2,空间加密,全场温度最大差,2.6245003823532898e-06,°C,N=300→400,网格差已收敛
问题2,空间加密,全场含水率最大差,0.0007525555292784425,kg/kg,N=300→400,初始表面梯度使全场最大差偏大
问题2,空间加密,题目表格点含水率最大差,1.8725986619116952e-06,kg/kg,N=300→400,题目要求的展示位置稳定
问题2,时间收紧,全场温度最大差,5.004220469118081e-07,°C,容差各收紧10倍,时间积分误差很小
问题2,时间收紧,全场含水率最大差,2.441257107577144e-08,kg/kg,容差各收紧10倍,时间积分误差很小
问题3,空间加密,达标事件时间差,0.056347233505221084,s,N=220→300,事件定位稳定
问题3,空间加密,60 s输出含水率最大差,1.4625861441519561e-05,kg/kg,N=220→300,输出场的空间差异仍远小于小时级终点
问题3,时间收紧,达标事件时间差,0.0024506489280611277,s,容差各收紧10倍,事件定位的时间误差很小
问题3,时间收紧,全场含水率最大差,2.4389331443330775e-08,kg/kg,容差各收紧10倍,时间积分误差很小
问题4,空间加密,达标事件时间差,0.1488757047627587,s,N=200→300,移动边界事件定位稳定
问题4,空间加密,实际位置输出含水率最大差,3.4647614132410354e-05,kg/kg,N=200→300,输出场差异远小于小时级终点
问题4,时间收紧,达标事件时间差,0.013295209384523332,s,容差各收紧10倍,事件定位的时间误差很小
问题4,时间收紧,实际位置输出含水率最大差,1.839326868591229e-08,kg/kg,容差各收紧10倍,时间积分误差很小
