endpoint_s,fit_amplitude,fit_exponent,fit_rmse,fit_smoothing_factor,fit_tau_s,method,overshoot_max,q1_max_abs,q1_rmse,roughness,series
1800.0,,,0.05869288575892043,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
1800.0,,,0.07103704244706574,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
1800.0,,,0.06501572361485998,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
1800.0,,,0.08198407699489166,,,cubic_spline,0.0,0.2313825875563822,0.18635228971933512,5.162475073725831e-05,T
1800.0,,,0.10314357803604014,0.7129271539214452,,smooth_spline,0.0,0.13903012668996695,0.07816499624256347,2.1225641494507296e-06,T
1800.0,26.87939819310843,1.050306366209969,0.10468962200015042,,2550.759472238474,stretched_exp,0.0,0.10704695742878556,0.057243286590176114,2.2040848715508917e-06,T
3600.0,,,0.041840936108388314,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
3600.0,,,0.05064082837168742,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
3600.0,,,0.04634835555681538,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
3600.0,,,0.058396893202345895,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
3600.0,,,0.1141737959651798,1.2999506452547775,,smooth_spline,0.0,0.07540880180439302,0.04210138310325732,2.539923292694934e-06,T
3600.0,22.855635085420527,1.1084184357306768,0.12164417783853182,,2011.3486428658982,stretched_exp,0.0,0.13838303045126565,0.0964177151106579,2.6618791171061678e-06,T
5400.0,,,0.034256707051641445,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
5400.0,,,0.04146150119317135,,,pchip,0.0,0.20611432767879734,0.1614693486849299,5.099323187992476e-05,T
5400.0,,,0.03794709646366707,,,akima,0.0,0.20223301059554188,0.14778270863674575,5.171293738692407e-05,T
5400.0,,,0.04781167557954554,,,cubic_spline,0.0,0.23138256838680604,0.18619972488202813,5.163392242271517e-05,T
5400.0,,,0.12454801845046773,1.3863745505210805,,smooth_spline,0.0,0.1354594090306911,0.0803354759534183,2.886470073985024e-06,T
5400.0,22.131153631641304,1.1409705356164241,0.1332381015129946,,1902.8136707688022,stretched_exp,0.0,0.21766693397684023,0.1404541092517987,2.861606281082866e-06,T
7200.0,,,0.029708014334560988,,,linear,0.0,0.1905000000000001,0.13341070671676505,3.622253129425473e-05,T
